day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,"Safety, Etiquette, and Equipment Orientation",Orientation and setup,Communications Safety and Etiquette,foundation,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom equipment | PPE | battery/charger tools | checklists,"Inspect assigned intercom equipment, establish professional call etiquette, verify primary and backup talk paths, and document custody and battery controls.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
67,DAY_067,7,IP Intercom and Network Audio,Troubleshooting laboratory,Secure Access Firmware And Logging — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | IP intercom equipment | managed switch lab | laptop software | packet capture,"Explain and demonstrate secure access firmware and logging through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
68,DAY_068,7,IP Intercom and Network Audio,Safety and quality review,"Secure Access Firmware And Logging — Safety, Quality, and Verification",foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | IP intercom equipment | managed switch lab | laptop software | packet capture,"Complete a supervised applied lab for secure access firmware and logging, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
69,DAY_069,7,IP Intercom and Network Audio,Integration and documentation,"IP Intercom and Network Audio — Integration, Documentation, and Handover",foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | IP intercom equipment | managed switch lab | laptop software | packet capture,"Integrate the four ip intercom and network audio skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
70,DAY_070,7,IP Intercom and Network Audio,Assessment and presentation,IP Intercom and Network Audio — Assessment Project,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | IP intercom equipment | managed switch lab | laptop software | packet capture,"Plan, execute, verify, present, and safely close an assessment project covering the complete ip intercom and network audio phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
71,DAY_071,8,"Headsets, Microphones, and User Ergonomics",Orientation and setup,Headset Connector And Impedance — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | headsets | beltpacks | measurement tools | hygiene supplies,"Explain and demonstrate headset connector and impedance through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
72,DAY_072,8,"Headsets, Microphones, and User Ergonomics",Concept development,Headset Connector And Impedance — Applied Baseline Lab,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | headsets | beltpacks | measurement tools | hygiene supplies,"Complete a supervised applied lab for headset connector and impedance, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
73,DAY_073,8,"Headsets, Microphones, and User Ergonomics",Guided laboratory,Boom Microphone Placement And Gain — Architecture and Components,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | headsets | beltpacks | measurement tools | hygiene supplies,"Explain and demonstrate boom microphone placement and gain through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
74,DAY_074,8,"Headsets, Microphones, and User Ergonomics",Guided laboratory,Boom Microphone Placement And Gain — Configuration Lab,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | headsets | beltpacks | measurement tools | hygiene supplies,"Complete a supervised applied lab for boom microphone placement and gain, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
75,DAY_075,8,"Headsets, Microphones, and User Ergonomics",Applied practice,Sidetone Comfort And Hearing Protection — Design and Technique,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | headsets | beltpacks | measurement tools | hygiene supplies,"Explain and demonstrate sidetone comfort and hearing protection through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
76,DAY_076,8,"Headsets, Microphones, and User Ergonomics",Operations and measurement,Sidetone Comfort And Hearing Protection — Operations and Measurement,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | headsets | beltpacks | measurement tools | hygiene supplies,"Complete a supervised applied lab for sidetone comfort and hearing protection, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
77,DAY_077,8,"Headsets, Microphones, and User Ergonomics",Troubleshooting laboratory,Cleaning Hygiene And Shared-Use Controls — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | headsets | beltpacks | measurement tools | hygiene supplies,"Explain and demonstrate cleaning hygiene and shared-use controls through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
78,DAY_078,8,"Headsets, Microphones, and User Ergonomics",Safety and quality review,"Cleaning Hygiene And Shared-Use Controls — Safety, Quality, and Verification",foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | headsets | beltpacks | measurement tools | hygiene supplies,"Complete a supervised applied lab for cleaning hygiene and shared-use controls, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
79,DAY_079,8,"Headsets, Microphones, and User Ergonomics",Integration and documentation,"Headsets, Microphones, and User Ergonomics — Integration, Documentation, and Handover",foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | headsets | beltpacks | measurement tools | hygiene supplies,"Integrate the four headsets, microphones, and user ergonomics skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
80,DAY_080,8,"Headsets, Microphones, and User Ergonomics",Assessment and presentation,"Headsets, Microphones, and User Ergonomics — Assessment Project",foundation-to-intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | headsets | beltpacks | measurement tools | hygiene supplies,"Plan, execute, verify, present, and safely close an assessment project covering the complete headsets, microphones, and user ergonomics phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
81,DAY_081,9,Production Roles and Show Communications,Orientation and setup,Stage Management And Cue Protocols — Foundations and Vocabulary,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | production intercom | show documentation | cue sheets | radios where approved,"Explain and demonstrate stage management and cue protocols through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
82,DAY_082,9,Production Roles and Show Communications,Concept development,Stage Management And Cue Protocols — Applied Baseline Lab,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | production intercom | show documentation | cue sheets | radios where approved,"Complete a supervised applied lab for stage management and cue protocols, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
83,DAY_083,9,Production Roles and Show Communications,Guided laboratory,Foh Monitor Lighting Video And Camera Channels — Architecture and Components,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | production intercom | show documentation | cue sheets | radios where approved,"Explain and demonstrate FOH monitor lighting video and camera channels through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
84,DAY_084,9,Production Roles and Show Communications,Guided laboratory,Foh Monitor Lighting Video And Camera Channels — Configuration Lab,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | production intercom | show documentation | cue sheets | radios where approved,"Complete a supervised applied lab for FOH monitor lighting video and camera channels, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
85,DAY_085,9,Production Roles and Show Communications,Applied practice,Private Line Ifb And Talent Communication — Design and Technique,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | production intercom | show documentation | cue sheets | radios where approved,"Explain and demonstrate private line IFB and talent communication through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
86,DAY_086,9,Production Roles and Show Communications,Operations and measurement,Private Line Ifb And Talent Communication — Operations and Measurement,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | production intercom | show documentation | cue sheets | radios where approved,"Complete a supervised applied lab for private line IFB and talent communication, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
87,DAY_087,9,Production Roles and Show Communications,Troubleshooting laboratory,Escalation Priority And Emergency Procedures — Troubleshooting and Failure Modes,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | production intercom | show documentation | cue sheets | radios where approved,"Explain and demonstrate escalation priority and emergency procedures through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
88,DAY_088,9,Production Roles and Show Communications,Safety and quality review,"Escalation Priority And Emergency Procedures — Safety, Quality, and Verification",intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | production intercom | show documentation | cue sheets | radios where approved,"Complete a supervised applied lab for escalation priority and emergency procedures, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
89,DAY_089,9,Production Roles and Show Communications,Integration and documentation,"Production Roles and Show Communications — Integration, Documentation, and Handover",intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | production intercom | show documentation | cue sheets | radios where approved,"Integrate the four production roles and show communications skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
90,DAY_090,9,Production Roles and Show Communications,Assessment and presentation,Production Roles and Show Communications — Assessment Project,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | production intercom | show documentation | cue sheets | radios where approved,"Plan, execute, verify, present, and safely close an assessment project covering the complete production roles and show communications phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
91,DAY_091,10,System Design and Coverage Planning,Orientation and setup,User Count Roles And Channel Requirements — Foundations and Vocabulary,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | diagramming tools | equipment inventory | site plans | planning sheets,"Explain and demonstrate user count roles and channel requirements through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
92,DAY_092,10,System Design and Coverage Planning,Concept development,User Count Roles And Channel Requirements — Applied Baseline Lab,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | diagramming tools | equipment inventory | site plans | planning sheets,"Complete a supervised applied lab for user count roles and channel requirements, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
93,DAY_093,10,System Design and Coverage Planning,Guided laboratory,Wired Wireless And Hybrid Topology — Architecture and Components,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | diagramming tools | equipment inventory | site plans | planning sheets,"Explain and demonstrate wired wireless and hybrid topology through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
94,DAY_094,10,System Design and Coverage Planning,Guided laboratory,Wired Wireless And Hybrid Topology — Configuration Lab,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | diagramming tools | equipment inventory | site plans | planning sheets,"Complete a supervised applied lab for wired wireless and hybrid topology, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
95,DAY_095,10,System Design and Coverage Planning,Applied practice,Coverage Antenna And Cable Planning — Design and Technique,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | diagramming tools | equipment inventory | site plans | planning sheets,"Explain and demonstrate coverage antenna and cable planning through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
96,DAY_096,10,System Design and Coverage Planning,Operations and measurement,Coverage Antenna And Cable Planning — Operations and Measurement,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | diagramming tools | equipment inventory | site plans | planning sheets,"Complete a supervised applied lab for coverage antenna and cable planning, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
97,DAY_097,10,System Design and Coverage Planning,Troubleshooting laboratory,Power Redundancy And Spare Strategy — Troubleshooting and Failure Modes,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | diagramming tools | equipment inventory | site plans | planning sheets,"Explain and demonstrate power redundancy and spare strategy through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
98,DAY_098,10,System Design and Coverage Planning,Safety and quality review,"Power Redundancy And Spare Strategy — Safety, Quality, and Verification",intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | diagramming tools | equipment inventory | site plans | planning sheets,"Complete a supervised applied lab for power redundancy and spare strategy, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
99,DAY_099,10,System Design and Coverage Planning,Integration and documentation,"System Design and Coverage Planning — Integration, Documentation, and Handover",intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | diagramming tools | equipment inventory | site plans | planning sheets,"Integrate the four system design and coverage planning skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
100,DAY_100,10,System Design and Coverage Planning,Assessment and presentation,System Design and Coverage Planning — Assessment Project,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | diagramming tools | equipment inventory | site plans | planning sheets,"Plan, execute, verify, present, and safely close an assessment project covering the complete system design and coverage planning phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
101,DAY_101,11,Deployment and Commissioning,Orientation and setup,Rack And Station Preparation — Foundations and Vocabulary,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom systems | test equipment | PPE | checklists,"Explain and demonstrate rack and station preparation through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
102,DAY_102,11,Deployment and Commissioning,Concept development,Rack And Station Preparation — Applied Baseline Lab,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom systems | test equipment | PPE | checklists,"Complete a supervised applied lab for rack and station preparation, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
103,DAY_103,11,Deployment and Commissioning,Guided laboratory,Cabling Labeling And Power-Up Sequence — Architecture and Components,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom systems | test equipment | PPE | checklists,"Explain and demonstrate cabling labeling and power-up sequence through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
104,DAY_104,11,Deployment and Commissioning,Guided laboratory,Cabling Labeling And Power-Up Sequence — Configuration Lab,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom systems | test equipment | PPE | checklists,"Complete a supervised applied lab for cabling labeling and power-up sequence, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
105,DAY_105,11,Deployment and Commissioning,Applied practice,Configuration Loading And Line Checks — Design and Technique,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom systems | test equipment | PPE | checklists,"Explain and demonstrate configuration loading and line checks through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
106,DAY_106,11,Deployment and Commissioning,Operations and measurement,Configuration Loading And Line Checks — Operations and Measurement,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom systems | test equipment | PPE | checklists,"Complete a supervised applied lab for configuration loading and line checks, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
107,DAY_107,11,Deployment and Commissioning,Troubleshooting laboratory,Acceptance Testing And Handover — Troubleshooting and Failure Modes,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom systems | test equipment | PPE | checklists,"Explain and demonstrate acceptance testing and handover through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
108,DAY_108,11,Deployment and Commissioning,Safety and quality review,"Acceptance Testing And Handover — Safety, Quality, and Verification",intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom systems | test equipment | PPE | checklists,"Complete a supervised applied lab for acceptance testing and handover, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
109,DAY_109,11,Deployment and Commissioning,Integration and documentation,"Deployment and Commissioning — Integration, Documentation, and Handover",intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom systems | test equipment | PPE | checklists,"Integrate the four deployment and commissioning skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
110,DAY_110,11,Deployment and Commissioning,Assessment and presentation,Deployment and Commissioning — Assessment Project,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | Beyond intercom systems | test equipment | PPE | checklists,"Plan, execute, verify, present, and safely close an assessment project covering the complete deployment and commissioning phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
111,DAY_111,12,RF Coordination and Wireless Reliability,Orientation and setup,Legal Frequency Planning Concepts — Foundations and Vocabulary,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | approved RF tools | wireless intercom | site map | PPE,"Explain and demonstrate legal frequency planning concepts through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
112,DAY_112,12,RF Coordination and Wireless Reliability,Concept development,Legal Frequency Planning Concepts — Applied Baseline Lab,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | approved RF tools | wireless intercom | site map | PPE,"Complete a supervised applied lab for legal frequency planning concepts, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
113,DAY_113,12,RF Coordination and Wireless Reliability,Guided laboratory,Scan Coordination And Interference Review — Architecture and Components,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | approved RF tools | wireless intercom | site map | PPE,"Explain and demonstrate scan coordination and interference review through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
114,DAY_114,12,RF Coordination and Wireless Reliability,Guided laboratory,Scan Coordination And Interference Review — Configuration Lab,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | approved RF tools | wireless intercom | site map | PPE,"Complete a supervised applied lab for scan coordination and interference review, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
115,DAY_115,12,RF Coordination and Wireless Reliability,Applied practice,Antenna Placement Cabling And Diversity — Design and Technique,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | approved RF tools | wireless intercom | site map | PPE,"Explain and demonstrate antenna placement cabling and diversity through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
116,DAY_116,12,RF Coordination and Wireless Reliability,Operations and measurement,Antenna Placement Cabling And Diversity — Operations and Measurement,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | approved RF tools | wireless intercom | site map | PPE,"Complete a supervised applied lab for antenna placement cabling and diversity, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
117,DAY_117,12,RF Coordination and Wireless Reliability,Troubleshooting laboratory,Walk Testing Coverage And Contingency — Troubleshooting and Failure Modes,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | approved RF tools | wireless intercom | site map | PPE,"Explain and demonstrate walk testing coverage and contingency through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
118,DAY_118,12,RF Coordination and Wireless Reliability,Safety and quality review,"Walk Testing Coverage And Contingency — Safety, Quality, and Verification",intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | approved RF tools | wireless intercom | site map | PPE,"Complete a supervised applied lab for walk testing coverage and contingency, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
119,DAY_119,12,RF Coordination and Wireless Reliability,Integration and documentation,"RF Coordination and Wireless Reliability — Integration, Documentation, and Handover",intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | approved RF tools | wireless intercom | site map | PPE,"Integrate the four rf coordination and wireless reliability skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
120,DAY_120,12,RF Coordination and Wireless Reliability,Assessment and presentation,RF Coordination and Wireless Reliability — Assessment Project,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | approved RF tools | wireless intercom | site map | PPE,"Plan, execute, verify, present, and safely close an assessment project covering the complete rf coordination and wireless reliability phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
121,DAY_121,13,Troubleshooting and Fault Isolation,Orientation and setup,No Audio And One-Way Audio — Foundations and Vocabulary,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom lab | cable tester | approved meter | logs,"Explain and demonstrate no audio and one-way audio through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
122,DAY_122,13,Troubleshooting and Fault Isolation,Concept development,No Audio And One-Way Audio — Applied Baseline Lab,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom lab | cable tester | approved meter | logs,"Complete a supervised applied lab for no audio and one-way audio, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
123,DAY_123,13,Troubleshooting and Fault Isolation,Guided laboratory,Noise Hum Distortion And Echo — Architecture and Components,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom lab | cable tester | approved meter | logs,"Explain and demonstrate noise hum distortion and echo through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
124,DAY_124,13,Troubleshooting and Fault Isolation,Guided laboratory,Noise Hum Distortion And Echo — Configuration Lab,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom lab | cable tester | approved meter | logs,"Complete a supervised applied lab for noise hum distortion and echo, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
125,DAY_125,13,Troubleshooting and Fault Isolation,Applied practice,Dropouts Range And Rf Interference — Design and Technique,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom lab | cable tester | approved meter | logs,"Explain and demonstrate dropouts range and RF interference through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
126,DAY_126,13,Troubleshooting and Fault Isolation,Operations and measurement,Dropouts Range And Rf Interference — Operations and Measurement,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom lab | cable tester | approved meter | logs,"Complete a supervised applied lab for dropouts range and RF interference, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
127,DAY_127,13,Troubleshooting and Fault Isolation,Troubleshooting laboratory,Configuration Network And Power Faults — Troubleshooting and Failure Modes,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom lab | cable tester | approved meter | logs,"Explain and demonstrate configuration network and power faults through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
128,DAY_128,13,Troubleshooting and Fault Isolation,Safety and quality review,"Configuration Network And Power Faults — Safety, Quality, and Verification",intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom lab | cable tester | approved meter | logs,"Complete a supervised applied lab for configuration network and power faults, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
129,DAY_129,13,Troubleshooting and Fault Isolation,Integration and documentation,"Troubleshooting and Fault Isolation — Integration, Documentation, and Handover",intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom lab | cable tester | approved meter | logs,"Integrate the four troubleshooting and fault isolation skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
130,DAY_130,13,Troubleshooting and Fault Isolation,Assessment and presentation,Troubleshooting and Fault Isolation — Assessment Project,intermediate,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | intercom lab | cable tester | approved meter | logs,"Plan, execute, verify, present, and safely close an assessment project covering the complete troubleshooting and fault isolation phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
131,DAY_131,14,Redundancy and Mission-Critical Operations,Orientation and setup,Dual Power And Backup Communication — Foundations and Vocabulary,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | redundant lab system | spares | runbooks | timers,"Explain and demonstrate dual power and backup communication through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
132,DAY_132,14,Redundancy and Mission-Critical Operations,Concept development,Dual Power And Backup Communication — Applied Baseline Lab,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | redundant lab system | spares | runbooks | timers,"Complete a supervised applied lab for dual power and backup communication, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
133,DAY_133,14,Redundancy and Mission-Critical Operations,Guided laboratory,Network And Matrix Redundancy — Architecture and Components,intermediate-to-advanced,8,Beyond wired/wireless intercom equipment | laptop-based communication tools | redundant lab system | spares | runbooks | timers,"Explain and demonstrate network and matrix redundancy through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
