day,day_code,phase_number,phase,mode,topic,difficulty,estimated_time_hours,tools,objective,required_submission
1,DAY_001,1,Electrical and Working-at-Height Safety,Orientation and setup,Electrical and Working-at-Height Safety,foundation,8,Beyond fixtures and controllers | free visualizer software | PPE | approved rigging hardware | multimeter where authorized | checklists,"Complete a supervised PPE, electrical, rigging-hardware, working-at-height, and exclusion-zone readiness check before any fixture is energized or suspended.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
70,DAY_070,7,Rigging and Fixture Hanging,Assessment and presentation,Rigging and Fixture Hanging — Assessment Project,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | approved lifts/stands | rated hardware | PPE | fixtures,"Plan, execute, verify, present, and safely close an assessment project covering the complete rigging and fixture hanging phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
71,DAY_071,8,Focus and Stage Lighting,Orientation and setup,Front Side Back And Top Light — Foundations and Vocabulary,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | fixtures | console | stage plan | PPE,"Explain and demonstrate front side back and top light through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
72,DAY_072,8,Focus and Stage Lighting,Concept development,Front Side Back And Top Light — Applied Baseline Lab,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | fixtures | console | stage plan | PPE,"Complete a supervised applied lab for front side back and top light, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
73,DAY_073,8,Focus and Stage Lighting,Guided laboratory,Key Fill Contrast And Modeling — Architecture and Components,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | fixtures | console | stage plan | PPE,"Explain and demonstrate key fill contrast and modeling through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
74,DAY_074,8,Focus and Stage Lighting,Guided laboratory,Key Fill Contrast And Modeling — Configuration Lab,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | fixtures | console | stage plan | PPE,"Complete a supervised applied lab for key fill contrast and modeling, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
75,DAY_075,8,Focus and Stage Lighting,Applied practice,Zones Specials And Shutter Cuts — Design and Technique,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | fixtures | console | stage plan | PPE,"Explain and demonstrate zones specials and shutter cuts through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
76,DAY_076,8,Focus and Stage Lighting,Operations and measurement,Zones Specials And Shutter Cuts — Operations and Measurement,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | fixtures | console | stage plan | PPE,"Complete a supervised applied lab for zones specials and shutter cuts, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
77,DAY_077,8,Focus and Stage Lighting,Troubleshooting laboratory,Focus Notes Repeatability And Glare Control — Troubleshooting and Failure Modes,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | fixtures | console | stage plan | PPE,"Explain and demonstrate focus notes repeatability and glare control through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
78,DAY_078,8,Focus and Stage Lighting,Safety and quality review,"Focus Notes Repeatability And Glare Control — Safety, Quality, and Verification",foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | fixtures | console | stage plan | PPE,"Complete a supervised applied lab for focus notes repeatability and glare control, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
79,DAY_079,8,Focus and Stage Lighting,Integration and documentation,"Focus and Stage Lighting — Integration, Documentation, and Handover",foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | fixtures | console | stage plan | PPE,"Integrate the four focus and stage lighting skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
80,DAY_080,8,Focus and Stage Lighting,Assessment and presentation,Focus and Stage Lighting — Assessment Project,foundation-to-intermediate,8,Beyond fixtures and controllers | free visualizer software | fixtures | console | stage plan | PPE,"Plan, execute, verify, present, and safely close an assessment project covering the complete focus and stage lighting phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
81,DAY_081,9,Color and Creative Design,Orientation and setup,Additive Color And Led Mixing — Foundations and Vocabulary,intermediate,8,Beyond fixtures and controllers | free visualizer software | color-mixing fixtures | gels | visualizer | camera/color meter where available,"Explain and demonstrate additive color and LED mixing through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
82,DAY_082,9,Color and Creative Design,Concept development,Additive Color And Led Mixing — Applied Baseline Lab,intermediate,8,Beyond fixtures and controllers | free visualizer software | color-mixing fixtures | gels | visualizer | camera/color meter where available,"Complete a supervised applied lab for additive color and LED mixing, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
83,DAY_083,9,Color and Creative Design,Guided laboratory,Gels Filters And White Balance — Architecture and Components,intermediate,8,Beyond fixtures and controllers | free visualizer software | color-mixing fixtures | gels | visualizer | camera/color meter where available,"Explain and demonstrate gels filters and white balance through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
84,DAY_084,9,Color and Creative Design,Guided laboratory,Gels Filters And White Balance — Configuration Lab,intermediate,8,Beyond fixtures and controllers | free visualizer software | color-mixing fixtures | gels | visualizer | camera/color meter where available,"Complete a supervised applied lab for gels filters and white balance, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
85,DAY_085,9,Color and Creative Design,Applied practice,Mood Palette And Visual Hierarchy — Design and Technique,intermediate,8,Beyond fixtures and controllers | free visualizer software | color-mixing fixtures | gels | visualizer | camera/color meter where available,"Explain and demonstrate mood palette and visual hierarchy through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
86,DAY_086,9,Color and Creative Design,Operations and measurement,Mood Palette And Visual Hierarchy — Operations and Measurement,intermediate,8,Beyond fixtures and controllers | free visualizer software | color-mixing fixtures | gels | visualizer | camera/color meter where available,"Complete a supervised applied lab for mood palette and visual hierarchy, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
87,DAY_087,9,Color and Creative Design,Troubleshooting laboratory,Skin Tone Scenery Camera And Accessibility — Troubleshooting and Failure Modes,intermediate,8,Beyond fixtures and controllers | free visualizer software | color-mixing fixtures | gels | visualizer | camera/color meter where available,"Explain and demonstrate skin tone scenery camera and accessibility through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
88,DAY_088,9,Color and Creative Design,Safety and quality review,"Skin Tone Scenery Camera And Accessibility — Safety, Quality, and Verification",intermediate,8,Beyond fixtures and controllers | free visualizer software | color-mixing fixtures | gels | visualizer | camera/color meter where available,"Complete a supervised applied lab for skin tone scenery camera and accessibility, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
89,DAY_089,9,Color and Creative Design,Integration and documentation,"Color and Creative Design — Integration, Documentation, and Handover",intermediate,8,Beyond fixtures and controllers | free visualizer software | color-mixing fixtures | gels | visualizer | camera/color meter where available,"Integrate the four color and creative design skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
90,DAY_090,9,Color and Creative Design,Assessment and presentation,Color and Creative Design — Assessment Project,intermediate,8,Beyond fixtures and controllers | free visualizer software | color-mixing fixtures | gels | visualizer | camera/color meter where available,"Plan, execute, verify, present, and safely close an assessment project covering the complete color and creative design phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
91,DAY_091,10,Networked Lighting,Orientation and setup,Art-Net Sacn And Lighting Networks — Foundations and Vocabulary,intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting nodes | managed switch lab | console | packet tools,"Explain and demonstrate Art-Net sACN and lighting networks through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
92,DAY_092,10,Networked Lighting,Concept development,Art-Net Sacn And Lighting Networks — Applied Baseline Lab,intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting nodes | managed switch lab | console | packet tools,"Complete a supervised applied lab for Art-Net sACN and lighting networks, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
93,DAY_093,10,Networked Lighting,Guided laboratory,Ip Addressing Switches And Vlan Concepts — Architecture and Components,intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting nodes | managed switch lab | console | packet tools,"Explain and demonstrate IP addressing switches and VLAN concepts through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
94,DAY_094,10,Networked Lighting,Guided laboratory,Ip Addressing Switches And Vlan Concepts — Configuration Lab,intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting nodes | managed switch lab | console | packet tools,"Complete a supervised applied lab for IP addressing switches and VLAN concepts, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
95,DAY_095,10,Networked Lighting,Applied practice,Nodes Gateways Redundancy And Qos — Design and Technique,intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting nodes | managed switch lab | console | packet tools,"Explain and demonstrate nodes gateways redundancy and QoS through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
96,DAY_096,10,Networked Lighting,Operations and measurement,Nodes Gateways Redundancy And Qos — Operations and Measurement,intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting nodes | managed switch lab | console | packet tools,"Complete a supervised applied lab for nodes gateways redundancy and QoS, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
97,DAY_097,10,Networked Lighting,Troubleshooting laboratory,Network Security Monitoring And Troubleshooting — Troubleshooting and Failure Modes,intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting nodes | managed switch lab | console | packet tools,"Explain and demonstrate network security monitoring and troubleshooting through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
98,DAY_098,10,Networked Lighting,Safety and quality review,"Network Security Monitoring And Troubleshooting — Safety, Quality, and Verification",intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting nodes | managed switch lab | console | packet tools,"Complete a supervised applied lab for network security monitoring and troubleshooting, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
99,DAY_099,10,Networked Lighting,Integration and documentation,"Networked Lighting — Integration, Documentation, and Handover",intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting nodes | managed switch lab | console | packet tools,"Integrate the four networked lighting skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
100,DAY_100,10,Networked Lighting,Assessment and presentation,Networked Lighting — Assessment Project,intermediate,8,Beyond fixtures and controllers | free visualizer software | lighting nodes | managed switch lab | console | packet tools,"Plan, execute, verify, present, and safely close an assessment project covering the complete networked lighting phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
101,DAY_101,11,Moving Lights and Effects,Orientation and setup,Pan Tilt Limits And Calibration — Foundations and Vocabulary,intermediate,8,Beyond fixtures and controllers | free visualizer software | moving fixtures | console | visualizer | PPE,"Explain and demonstrate pan tilt limits and calibration through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
102,DAY_102,11,Moving Lights and Effects,Concept development,Pan Tilt Limits And Calibration — Applied Baseline Lab,intermediate,8,Beyond fixtures and controllers | free visualizer software | moving fixtures | console | visualizer | PPE,"Complete a supervised applied lab for pan tilt limits and calibration, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
103,DAY_103,11,Moving Lights and Effects,Guided laboratory,Gobos Prisms Zoom Focus And Iris — Architecture and Components,intermediate,8,Beyond fixtures and controllers | free visualizer software | moving fixtures | console | visualizer | PPE,"Explain and demonstrate gobos prisms zoom focus and iris through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
104,DAY_104,11,Moving Lights and Effects,Guided laboratory,Gobos Prisms Zoom Focus And Iris — Configuration Lab,intermediate,8,Beyond fixtures and controllers | free visualizer software | moving fixtures | console | visualizer | PPE,"Complete a supervised applied lab for gobos prisms zoom focus and iris, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
105,DAY_105,11,Moving Lights and Effects,Applied practice,Movement Effects And Safe Audience Paths — Design and Technique,intermediate,8,Beyond fixtures and controllers | free visualizer software | moving fixtures | console | visualizer | PPE,"Explain and demonstrate movement effects and safe audience paths through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
106,DAY_106,11,Moving Lights and Effects,Operations and measurement,Movement Effects And Safe Audience Paths — Operations and Measurement,intermediate,8,Beyond fixtures and controllers | free visualizer software | moving fixtures | console | visualizer | PPE,"Complete a supervised applied lab for movement effects and safe audience paths, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
107,DAY_107,11,Moving Lights and Effects,Troubleshooting laboratory,Haze Strobe And Special-Effect Controls — Troubleshooting and Failure Modes,intermediate,8,Beyond fixtures and controllers | free visualizer software | moving fixtures | console | visualizer | PPE,"Explain and demonstrate haze strobe and special-effect controls through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
108,DAY_108,11,Moving Lights and Effects,Safety and quality review,"Haze Strobe And Special-Effect Controls — Safety, Quality, and Verification",intermediate,8,Beyond fixtures and controllers | free visualizer software | moving fixtures | console | visualizer | PPE,"Complete a supervised applied lab for haze strobe and special-effect controls, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
109,DAY_109,11,Moving Lights and Effects,Integration and documentation,"Moving Lights and Effects — Integration, Documentation, and Handover",intermediate,8,Beyond fixtures and controllers | free visualizer software | moving fixtures | console | visualizer | PPE,"Integrate the four moving lights and effects skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
110,DAY_110,11,Moving Lights and Effects,Assessment and presentation,Moving Lights and Effects — Assessment Project,intermediate,8,Beyond fixtures and controllers | free visualizer software | moving fixtures | console | visualizer | PPE,"Plan, execute, verify, present, and safely close an assessment project covering the complete moving lights and effects phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
111,DAY_111,12,Show Design and Documentation,Orientation and setup,Brief Venue And Audience Analysis — Foundations and Vocabulary,intermediate,8,Beyond fixtures and controllers | free visualizer software | CAD/diagram tools | console visualizer | planning sheets | PPE,"Explain and demonstrate brief venue and audience analysis through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
112,DAY_112,12,Show Design and Documentation,Concept development,Brief Venue And Audience Analysis — Applied Baseline Lab,intermediate,8,Beyond fixtures and controllers | free visualizer software | CAD/diagram tools | console visualizer | planning sheets | PPE,"Complete a supervised applied lab for brief venue and audience analysis, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
113,DAY_113,12,Show Design and Documentation,Guided laboratory,Plots Patch Sheets Schedules And Cue Lists — Architecture and Components,intermediate,8,Beyond fixtures and controllers | free visualizer software | CAD/diagram tools | console visualizer | planning sheets | PPE,"Explain and demonstrate plots patch sheets schedules and cue lists through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
114,DAY_114,12,Show Design and Documentation,Guided laboratory,Plots Patch Sheets Schedules And Cue Lists — Configuration Lab,intermediate,8,Beyond fixtures and controllers | free visualizer software | CAD/diagram tools | console visualizer | planning sheets | PPE,"Complete a supervised applied lab for plots patch sheets schedules and cue lists, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
115,DAY_115,12,Show Design and Documentation,Applied practice,Power Data Rigging And Crew Plans — Design and Technique,intermediate,8,Beyond fixtures and controllers | free visualizer software | CAD/diagram tools | console visualizer | planning sheets | PPE,"Explain and demonstrate power data rigging and crew plans through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
116,DAY_116,12,Show Design and Documentation,Operations and measurement,Power Data Rigging And Crew Plans — Operations and Measurement,intermediate,8,Beyond fixtures and controllers | free visualizer software | CAD/diagram tools | console visualizer | planning sheets | PPE,"Complete a supervised applied lab for power data rigging and crew plans, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
117,DAY_117,12,Show Design and Documentation,Troubleshooting laboratory,Risk Assessment Rehearsal And Change Control — Troubleshooting and Failure Modes,intermediate,8,Beyond fixtures and controllers | free visualizer software | CAD/diagram tools | console visualizer | planning sheets | PPE,"Explain and demonstrate risk assessment rehearsal and change control through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
118,DAY_118,12,Show Design and Documentation,Safety and quality review,"Risk Assessment Rehearsal And Change Control — Safety, Quality, and Verification",intermediate,8,Beyond fixtures and controllers | free visualizer software | CAD/diagram tools | console visualizer | planning sheets | PPE,"Complete a supervised applied lab for risk assessment rehearsal and change control, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
119,DAY_119,12,Show Design and Documentation,Integration and documentation,"Show Design and Documentation — Integration, Documentation, and Handover",intermediate,8,Beyond fixtures and controllers | free visualizer software | CAD/diagram tools | console visualizer | planning sheets | PPE,"Integrate the four show design and documentation skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
120,DAY_120,12,Show Design and Documentation,Assessment and presentation,Show Design and Documentation — Assessment Project,intermediate,8,Beyond fixtures and controllers | free visualizer software | CAD/diagram tools | console visualizer | planning sheets | PPE,"Plan, execute, verify, present, and safely close an assessment project covering the complete show design and documentation phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
121,DAY_121,13,"Concert, Theatre, and Worship Workflows",Orientation and setup,Music Timing Busking And Playback — Foundations and Vocabulary,intermediate,8,Beyond fixtures and controllers | free visualizer software | full lighting system | console | intercom | visualizer,"Explain and demonstrate music timing busking and playback through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
122,DAY_122,13,"Concert, Theatre, and Worship Workflows",Concept development,Music Timing Busking And Playback — Applied Baseline Lab,intermediate,8,Beyond fixtures and controllers | free visualizer software | full lighting system | console | intercom | visualizer,"Complete a supervised applied lab for music timing busking and playback, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
123,DAY_123,13,"Concert, Theatre, and Worship Workflows",Guided laboratory,Theatre Cueing Tracking And Scene Shifts — Architecture and Components,intermediate,8,Beyond fixtures and controllers | free visualizer software | full lighting system | console | intercom | visualizer,"Explain and demonstrate theatre cueing tracking and scene shifts through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
124,DAY_124,13,"Concert, Theatre, and Worship Workflows",Guided laboratory,Theatre Cueing Tracking And Scene Shifts — Configuration Lab,intermediate,8,Beyond fixtures and controllers | free visualizer software | full lighting system | console | intercom | visualizer,"Complete a supervised applied lab for theatre cueing tracking and scene shifts, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
125,DAY_125,13,"Concert, Theatre, and Worship Workflows",Applied practice,Worship Speech Camera And Congregation Needs — Design and Technique,intermediate,8,Beyond fixtures and controllers | free visualizer software | full lighting system | console | intercom | visualizer,"Explain and demonstrate worship speech camera and congregation needs through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
126,DAY_126,13,"Concert, Theatre, and Worship Workflows",Operations and measurement,Worship Speech Camera And Congregation Needs — Operations and Measurement,intermediate,8,Beyond fixtures and controllers | free visualizer software | full lighting system | console | intercom | visualizer,"Complete a supervised applied lab for worship speech camera and congregation needs, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
127,DAY_127,13,"Concert, Theatre, and Worship Workflows",Troubleshooting laboratory,Rehearsal Communication And Show Discipline — Troubleshooting and Failure Modes,intermediate,8,Beyond fixtures and controllers | free visualizer software | full lighting system | console | intercom | visualizer,"Explain and demonstrate rehearsal communication and show discipline through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
128,DAY_128,13,"Concert, Theatre, and Worship Workflows",Safety and quality review,"Rehearsal Communication And Show Discipline — Safety, Quality, and Verification",intermediate,8,Beyond fixtures and controllers | free visualizer software | full lighting system | console | intercom | visualizer,"Complete a supervised applied lab for rehearsal communication and show discipline, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
129,DAY_129,13,"Concert, Theatre, and Worship Workflows",Integration and documentation,"Concert, Theatre, and Worship Workflows — Integration, Documentation, and Handover",intermediate,8,Beyond fixtures and controllers | free visualizer software | full lighting system | console | intercom | visualizer,"Integrate the four concert, theatre, and worship workflows skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
130,DAY_130,13,"Concert, Theatre, and Worship Workflows",Assessment and presentation,"Concert, Theatre, and Worship Workflows — Assessment Project",intermediate,8,Beyond fixtures and controllers | free visualizer software | full lighting system | console | intercom | visualizer,"Plan, execute, verify, present, and safely close an assessment project covering the complete concert, theatre, and worship workflows phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
131,DAY_131,14,Architectural and Event Lighting,Orientation and setup,Facade Room And Ambience Design — Foundations and Vocabulary,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | architectural/event fixtures | controllers | measurement tools | PPE,"Explain and demonstrate facade room and ambience design through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
132,DAY_132,14,Architectural and Event Lighting,Concept development,Facade Room And Ambience Design — Applied Baseline Lab,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | architectural/event fixtures | controllers | measurement tools | PPE,"Complete a supervised applied lab for facade room and ambience design, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
133,DAY_133,14,Architectural and Event Lighting,Guided laboratory,Temporary Décor And Outdoor Weather Controls — Architecture and Components,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | architectural/event fixtures | controllers | measurement tools | PPE,"Explain and demonstrate temporary décor and outdoor weather controls through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
134,DAY_134,14,Architectural and Event Lighting,Guided laboratory,Temporary Décor And Outdoor Weather Controls — Configuration Lab,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | architectural/event fixtures | controllers | measurement tools | PPE,"Complete a supervised applied lab for temporary décor and outdoor weather controls, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
135,DAY_135,14,Architectural and Event Lighting,Applied practice,Energy Efficiency Scheduling And Control — Design and Technique,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | architectural/event fixtures | controllers | measurement tools | PPE,"Explain and demonstrate energy efficiency scheduling and control through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
136,DAY_136,14,Architectural and Event Lighting,Operations and measurement,Energy Efficiency Scheduling And Control — Operations and Measurement,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | architectural/event fixtures | controllers | measurement tools | PPE,"Complete a supervised applied lab for energy efficiency scheduling and control, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
137,DAY_137,14,Architectural and Event Lighting,Troubleshooting laboratory,Client Approval Safety And Handover — Troubleshooting and Failure Modes,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | architectural/event fixtures | controllers | measurement tools | PPE,"Explain and demonstrate client approval safety and handover through an authorized baseline, measurable check, documented failure mode, and independent verification.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
138,DAY_138,14,Architectural and Event Lighting,Safety and quality review,"Client Approval Safety And Handover — Safety, Quality, and Verification",intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | architectural/event fixtures | controllers | measurement tools | PPE,"Complete a supervised applied lab for client approval safety and handover, record expected versus observed results, diagnose one controlled fault, and restore the approved state.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
139,DAY_139,14,Architectural and Event Lighting,Integration and documentation,"Architectural and Event Lighting — Integration, Documentation, and Handover",intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | architectural/event fixtures | controllers | measurement tools | PPE,"Integrate the four architectural and event lighting skill areas into one reproducible workflow, diagram, checklist, evidence pack, and handover note.","Baseline evidence, completed practical artifact, independent verification, safety/restoration record, and short professional report."
140,DAY_140,14,Architectural and Event Lighting,Assessment and presentation,Architectural and Event Lighting — Assessment Project,intermediate-to-advanced,8,Beyond fixtures and controllers | free visualizer software | architectural/event fixtures | controllers | measurement tools | PPE,"Plan, execute, verify, present, and safely close an assessment project covering the complete architectural and event lighting phase.","Assessment demonstration, reproducible project/equipment package, verification and restoration evidence, safety review, and professional report."
